Years|Prices
23/02/2019|29.67
24/02/2019|29.585
25/02/2019|29.51
26/02/2019|29.78
1/03/2019|30.335
2/03/2019|31.15
3/03/2019|31.535
4/03/2019|31.515
5/03/2019|32.27
8/03/2019|31.93
9/03/2019|32.23
10/03/2019|32.24
11/03/2019|32.65
12/03/2019|32.59
15/03/2019|32.645
16/03/2019|32.81
17/03/2019|32.535
18/03/2019|32.29
19/03/2019|32.105
22/03/2019|32.65
23/03/2019|33.31
24/03/2019|33.385
25/03/2019|33.995
26/03/2019|34.07
29/03/2019|34.1
30/03/2019|33.805
31/03/2019|34.225
1/04/2019|35.13
2/04/2019|35.13
5/04/2019|35.13
6/04/2019|35.45
7/04/2019|34.91
8/04/2019|34.545
9/04/2019|34.83
12/04/2019|35.19
13/04/2019|35.31
14/04/2019|35.41
15/04/2019|35.31
16/04/2019|35.295
19/04/2019|35.185
20/04/2019|36.7
21/04/2019|36.635
22/04/2019|36.515
23/04/2019|37.2
26/04/2019|37.75
27/04/2019|36.81
28/04/2019|36.55
29/04/2019|36.855
30/04/2019|37.09
3/05/2019|37.345
4/05/2019|35.89
5/05/2019|35.96
6/05/2019|36.34
7/05/2019|35.7
10/05/2019|37.6
11/05/2019|38.205
12/05/2019|38.905
13/05/2019|39.395
14/05/2019|38.75
17/05/2019|38.68
18/05/2019|39.495
19/05/2019|37.345
20/05/2019|36.31
21/05/2019|36.01
24/05/2019|36.195
25/05/2019|35.38
26/05/2019|35.9
27/05/2019|37.21
28/05/2019|37.375
31/05/2019|37.965
1/06/2019|37.925
2/06/2019|38.37
3/06/2019|39.135
4/06/2019|38.11
7/06/2019|38.335
8/06/2019|37.65
9/06/2019|38.77
10/06/2019|40.51
11/06/2019|40.04
14/06/2019|39.7
15/06/2019|39.9
16/06/2019|39.01
17/06/2019|39.73
18/06/2019|40.64
21/06/2019|41.795
22/06/2019|41.445
23/06/2019|41.59
24/06/2019|41.4
25/06/2019|40.585
28/06/2019|41.23
29/06/2019|39.945
30/06/2019|40.145
1/07/2019|38.725
2/07/2019|37.85
5/07/2019|38.125
6/07/2019|38.975
7/07/2019|39.92
8/07/2019|39.05
9/07/2019|39.12
12/07/2019|38.89
13/07/2019|41.845
14/07/2019|41.69
15/07/2019|42.32
16/07/2019|42.05
19/07/2019|41.62
20/07/2019|41.15
21/07/2019|41.08
22/07/2019|41.925
23/07/2019|41.92
26/07/2019|42.16
27/07/2019|41.59
28/07/2019|40.92
29/07/2019|40.92
30/07/2019|41.33
2/08/2019|41.855
3/08/2019|43.085
4/08/2019|43.56
5/08/2019|44.465
6/08/2019|44.095
9/08/2019|44.385
10/08/2019|43.47
11/08/2019|42.49
12/08/2019|42.015
13/08/2019|41.975
16/08/2019|41.89
17/08/2019|43.115
18/08/2019|43.665
19/08/2019|42.86
20/08/2019|41.97
23/08/2019|41.91
24/08/2019|41.5
25/08/2019|41.46
26/08/2019|41.7
27/08/2019|41.81
30/08/2019|41.15
31/08/2019|41.51
1/09/2019|42.865
2/09/2019|43.65
3/09/2019|44.195
6/09/2019|44.05
7/09/2019|43.935
8/09/2019|44.89
9/09/2019|45.22
10/09/2019|46.135
13/09/2019|46.165
14/09/2019|46.925
15/09/2019|47.15
16/09/2019|47.175
17/09/2019|47.24
20/09/2019|48.92
21/09/2019|48.385
22/09/2019|48.055
23/09/2019|48.24
24/09/2019|50.11
27/09/2019|50.04
28/09/2019|50.57
29/09/2019|51.09
30/09/2019|51.43
1/10/2019|49.52
4/10/2019|48.12
5/10/2019|50.04
6/10/2019|49.49
7/10/2019|49.86
8/10/2019|50.09
11/10/2019|49.765
12/10/2019|50.19
13/10/2019|49.96
14/10/2019|50.02
15/10/2019|49.655
18/10/2019|48.975
19/10/2019|49.09
20/10/2019|49.595
21/10/2019|49.96
22/10/2019|49.97
25/10/2019|50.76
26/10/2019|50.54
27/10/2019|49.95
28/10/2019|49.78
29/10/2019|51.41
1/11/2019|52.93
2/11/2019|52.4
3/11/2019|51.69
4/11/2019|53.75
5/11/2019|53.99
8/11/2019|53.57
9/11/2019|54.7
10/11/2019|53.96
11/11/2019|54.44
12/11/2019|55
15/11/2019|55.89
16/11/2019|54.65
17/11/2019|54.43
18/11/2019|56.15
19/11/2019|56.66
22/11/2019|57.57
23/11/2019|56.68
24/11/2019|59
25/11/2019|59.71
26/11/2019|58.95
29/11/2019|57.76
30/11/2019|58.04
1/12/2019|61.1
2/12/2019|63.73
3/12/2019|63.86
6/12/2019|62.85
7/12/2019|64.06
8/12/2019|62.28
9/12/2019|60.09
10/12/2019|62.72
13/12/2019|63.32
14/12/2019|62.6
15/12/2019|62.3
16/12/2019|62.82
17/12/2019|61.91
20/12/2019|62.98
21/12/2019|64.65
22/12/2019|64.47
23/12/2019|63.3
24/12/2019|63.3
27/12/2019|59.54
28/12/2019|58.16
29/12/2019|58.68
30/12/2019|58.71
31/12/2019|58.71
3/01/2020|61.31
4/01/2020|60.77
5/01/2020|60.06
6/01/2020|59.83
7/01/2020|59.47
10/01/2020|58.56
11/01/2020|59.52
12/01/2020|59.64
13/01/2020|57.67
14/01/2020|58.79
17/01/2020|58.59
18/01/2020|58.66
19/01/2020|57.74
20/01/2020|55.7
21/01/2020|55.87
24/01/2020|55.47
25/01/2020|56.07
26/01/2020|57.06
27/01/2020|57.24
28/01/2020|56.87
31/01/2020|56.22
1/02/2020|56.57
2/02/2020|56.47
3/02/2020|57.45
4/02/2020|57.02
7/02/2020|58.77
8/02/2020|61.49
9/02/2020|61.36
10/02/2020|61.61
11/02/2020|62.97
14/02/2020|63.43
15/02/2020|62.13
16/02/2020|61.64
17/02/2020|61.04
18/02/2020|60.66
21/02/2020|60.1
22/02/2020|60.19
23/02/2020|58.15
24/02/2020|56.95
25/02/2020|58.82
28/02/2020|59.1
1/03/2020|59.56
2/03/2020|58.15
3/03/2020|58.37
4/03/2020|57.53
7/03/2020|57.47
8/03/2020|58.05
9/03/2020|58.24
10/03/2020|57.09
11/03/2020|56.49
14/03/2020|56.06
15/03/2020|53.86
16/03/2020|52.39
17/03/2020|54.09
18/03/2020|55.09
21/03/2020|55.57
22/03/2020|54.69
23/03/2020|55.43
24/03/2020|57.59
25/03/2020|57.16
28/03/2020|57.4
29/03/2020|57.39
30/03/2020|58.69
31/03/2020|58.86
1/04/2020|61.01
4/04/2020|60.69
5/04/2020|60.88
6/04/2020|60.13
7/04/2020|59.2
8/04/2020|58.57
11/04/2020|57.12
12/04/2020|56.78
13/04/2020|57.62
14/04/2020|57.9
15/04/2020|58.09
18/04/2020|57.04
19/04/2020|58.96
20/04/2020|60.37
21/04/2020|60.82
22/04/2020|60.82
25/04/2020|60.82
26/04/2020|61.74
27/04/2020|61.98
28/04/2020|63.14
29/04/2020|63.51
2/05/2020|64.5
3/05/2020|63.34
4/05/2020|62.3
5/05/2020|61.5
6/05/2020|62.05
9/05/2020|61.6
10/05/2020|62.84
11/05/2020|62.84
12/05/2020|63.4
13/05/2020|61.5
16/05/2020|61.39
17/05/2020|60.75
18/05/2020|61.54
19/05/2020|62.05
20/05/2020|61.13
23/05/2020|59.03
24/05/2020|60.12
25/05/2020|60.72
26/05/2020|60.02
27/05/2020|60.83
30/05/2020|60.84
31/05/2020|61.45
1/06/2020|60.51
2/06/2020|60.32
3/06/2020|60.46
6/06/2020|60.62
7/06/2020|60.38
8/06/2020|60.66
9/06/2020|62.76
10/06/2020|62.27
13/06/2020|62.31
14/06/2020|63.24
15/06/2020|61.97
16/06/2020|63.1
17/06/2020|63.9
20/06/2020|64.03
21/06/2020|64.43
22/06/2020|65.45
23/06/2020|65.35
24/06/2020|67
27/06/2020|67.8
28/06/2020|69.2
29/06/2020|69
30/06/2020|68.81
1/07/2020|67.86
4/07/2020|68.9
5/07/2020|68.79
6/07/2020|68
7/07/2020|69.25
8/07/2020|68.69
11/07/2020|66.55
12/07/2020|67.68
13/07/2020|70.14
14/07/2020|70.77
15/07/2020|72.21
18/07/2020|71.24
19/07/2020|72.16
20/07/2020|71.91
21/07/2020|71.1
22/07/2020|71.48
25/07/2020|73.82
26/07/2020|72.19
27/07/2020|70.61
28/07/2020|70.25
29/07/2020|69.78
1/08/2020|68
2/08/2020|65.56
3/08/2020|65.83
4/08/2020|61.07
5/08/2020|62.19
8/08/2020|54.58
9/08/2020|59.3
10/08/2020|57.61
11/08/2020|58.3
12/08/2020|59.67
15/08/2020|59.79
16/08/2020|58.3
17/08/2020|58.29
18/08/2020|53.93
19/08/2020|52.55
22/08/2020|49.945
23/08/2020|51.96
24/08/2020|53.97
25/08/2020|53.25
26/08/2020|55
29/08/2020|54.7
30/08/2020|54.28
31/08/2020|56.31
1/09/2020|56.3
2/09/2020|54.16
5/09/2020|50.66
6/09/2020|50.91
7/09/2020|53.9
8/09/2020|52.94
9/09/2020|51.44
12/09/2020|50.92
13/09/2020|52.29
14/09/2020|55.97
15/09/2020|56.71
16/09/2020|57.28
19/09/2020|56.05
20/09/2020|57.45
21/09/2020|56.32
22/09/2020|52.9
23/09/2020|52.44
26/09/2020|50.79
27/09/2020|53.96
28/09/2020|53.13
29/09/2020|52.66
30/09/2020|49.84
3/10/2020|46.35
4/10/2020|44.945
5/10/2020|47.285
6/10/2020|48.8
7/10/2020|50.49
10/10/2020|52.86
11/10/2020|53.55
12/10/2020|54.74
13/10/2020|54.89
14/10/2020|56.35
17/10/2020|54.33
18/10/2020|55.28
19/10/2020|54.67
20/10/2020|54.07
21/10/2020|56.91
24/10/2020|57.95
25/10/2020|57.92
26/10/2020|58.21
27/10/2020|61.29
28/10/2020|61.76
31/10/2020|59.06
1/11/2020|56.9
2/11/2020|58.1
3/11/2020|60.5
4/11/2020|58.21
7/11/2020|58.06
8/11/2020|59.17
9/11/2020|56.32
10/11/2020|58.06
11/11/2020|58.31
14/11/2020|57.8
15/11/2020|57.88
16/11/2020|56.19
17/11/2020|53.87
18/11/2020|53.78
21/11/2020|51.4
22/11/2020|51.12
23/11/2020|49.25
24/11/2020|50.2
25/11/2020|50.25
28/11/2020|53.07
29/11/2020|52.8
30/11/2020|55.88
1/12/2020|55.2
2/12/2020|55.69
5/12/2020|56.076
6/12/2020|56.268
7/12/2020|55.9
8/12/2020|53.71
9/12/2020|53.82
12/12/2020|52.765
13/12/2020|53.045
14/12/2020|50.859
15/12/2020|50.92
16/12/2020|49.916
19/12/2020|50.262
20/12/2020|52.295
21/12/2020|52.626
22/12/2020|52.884
23/12/2020|52.44
26/12/2020|52.44
27/12/2020|52.824
28/12/2020|51.26
29/12/2020|51.61
30/12/2020|51.545
2/01/2021|53.06
3/01/2021|54.948
4/01/2021|56.099
5/01/2021|56.27
6/01/2021|55.57
9/01/2021|56.632
10/01/2021|58.729
11/01/2021|59.005
12/01/2021|59.529
13/01/2021|58.038
16/01/2021|60.176
17/01/2021|61.873
18/01/2021|62.181
19/01/2021|62.86
20/01/2021|63.57
23/01/2021|63.682
24/01/2021|63.15
25/01/2021|63.759
26/01/2021|65.08
27/01/2021|64.75
30/01/2021|64.451
31/01/2021|65.489
1/02/2021|68.115
2/02/2021|67.699
3/02/2021|69.78
6/02/2021|70.726
7/02/2021|69.696
8/02/2021|69.399
9/02/2021|71.938
10/02/2021|69.873
13/02/2021|70.67
14/02/2021|69.564
15/02/2021|69.868
16/02/2021|70.928
17/02/2021|71.921
20/02/2021|72.2
21/02/2021|71.85
22/02/2021|70.83
23/02/2021|69.639
24/02/2021|70.448
27/02/2021|69.118
28/02/2021|69.84
29/02/2021|69.501
1/03/2021|71.3
2/03/2021|70.304
5/03/2021|70.562
6/03/2021|66.7
7/03/2021|68.28
8/03/2021|69.5
9/03/2021|70.5
12/03/2021|70.922
13/03/2021|70.7
14/03/2021|72.947
15/03/2021|73.45
16/03/2021|72.964
19/03/2021|72.08
20/03/2021|68.825
21/03/2021|68.959
22/03/2021|67.62
23/03/2021|68.051
26/03/2021|68.69
27/03/2021|68.38
28/03/2021|67.02
29/03/2021|65.525
30/03/2021|67.449
2/04/2021|69.1
3/04/2021|68
4/04/2021|66.653
5/04/2021|66.55
6/04/2021|66.55
9/04/2021|66.55
10/04/2021|64.78
11/04/2021|66.98
12/04/2021|68.93
13/04/2021|67.537
16/04/2021|68.86
17/04/2021|69.798
18/04/2021|69.38
19/04/2021|68.28
20/04/2021|69.564
23/04/2021|67.292
24/04/2021|67.416
25/04/2021|69.699
26/04/2021|71
27/04/2021|72.06
30/04/2021|71.83
1/05/2021|71.83
2/05/2021|71.483
3/05/2021|71.599
4/05/2021|69.33
7/05/2021|70.396
8/05/2021|67.865
9/05/2021|67.75
10/05/2021|66.418
11/05/2021|67.212
14/05/2021|66.613
15/05/2021|66.224
16/05/2021|66.284
17/05/2021|62.832
18/05/2021|60.944
21/05/2021|61.917
22/05/2021|63.433
23/05/2021|62.07
24/05/2021|61.7
25/05/2021|61.821
28/05/2021|62.375
29/05/2021|63.999
30/05/2021|62.117
31/05/2021|61.4
1/06/2021|58.644
4/06/2021|56.799
5/06/2021|57.535
6/06/2021|58.777
7/06/2021|59.826
8/06/2021|59.037
11/06/2021|59.066
12/06/2021|58.573
13/06/2021|57.85
14/06/2021|56.24
15/06/2021|56.23
18/06/2021|57.282
19/06/2021|58.292
20/06/2021|58.202
21/06/2021|57.288
22/06/2021|56.499
25/06/2021|55.199
26/06/2021|53.85
27/06/2021|54.862
28/06/2021|54.267
29/06/2021|56.899
2/07/2021|57.55
3/07/2021|59.288
4/07/2021|59.149
5/07/2021|59
6/07/2021|56.62
9/07/2021|56.845
10/07/2021|57.087
11/07/2021|56.67
12/07/2021|56.17
13/07/2021|57.679
16/07/2021|57.491
17/07/2021|58.049
18/07/2021|58.773
19/07/2021|59.546
20/07/2021|58.268
23/07/2021|56.705
24/07/2021|54.852
25/07/2021|56.12
26/07/2021|57.292
27/07/2021|59.5
30/07/2021|60.26
31/07/2021|60.75
1/08/2021|58.859
2/08/2021|56.41
3/08/2021|58.29
6/08/2021|59.429
7/08/2021|60.704
8/08/2021|60.044
9/08/2021|60.06
10/08/2021|59.929
13/08/2021|59.084
14/08/2021|59.145
15/08/2021|59.113
16/08/2021|60.124
17/08/2021|61.284
20/08/2021|61.199
21/08/2021|61.548
22/08/2021|61.296
23/08/2021|60.769
24/08/2021|59.896
27/08/2021|60.655
28/08/2021|60.477
29/08/2021|60.039
30/08/2021|57.658
31/08/2021|57.846
3/09/2021|57.17
4/09/2021|55.628
5/09/2021|55.05
6/09/2021|57.14
7/09/2021|58.077
10/09/2021|58.52
11/09/2021|59.401
12/09/2021|60.549
13/09/2021|60.375
14/09/2021|61.698
17/09/2021|61.611
18/09/2021|60.31
19/09/2021|61.216
20/09/2021|59.282
21/09/2021|59.715
24/09/2021|59.625
25/09/2021|58.832
26/09/2021|57.653
27/09/2021|58.157
28/09/2021|57.241
1/10/2021|57.303
2/10/2021|57.599
3/10/2021|57.906
4/10/2021|59.904
5/10/2021|60.945
8/10/2021|60.135
9/10/2021|60
10/10/2021|59.306
11/10/2021|60.742
12/10/2021|60.325
15/10/2021|60.74
16/10/2021|60.94
17/10/2021|61.576
18/10/2021|61.684
19/10/2021|61.778
22/10/2021|61.318
23/10/2021|60.7
24/10/2021|60.358
25/10/2021|60.385
26/10/2021|60.936
29/10/2021|60.584
30/10/2021|61.601
31/10/2021|61.499
1/11/2021|63.3
2/11/2021|64.684
5/11/2021|64.69
6/11/2021|64.54
7/11/2021|64.79
8/11/2021|63.66
9/11/2021|64.14
12/11/2021|63.791
13/11/2021|63.409
14/11/2021|63.1
15/11/2021|62.529
16/11/2021|61.939
19/11/2021|64.925
20/11/2021|65.632
21/11/2021|66.193
22/11/2021|65.579
23/11/2021|65.735
26/11/2021|66.278
27/11/2021|66.634
28/11/2021|67.213
29/11/2021|67.75
30/11/2021|68.35
3/12/2021|67.99
4/12/2021|67.83
5/12/2021|68.271
6/12/2021|68.63
7/12/2021|69.029
10/12/2021|69.36
11/12/2021|70.544
12/12/2021|71.338
13/12/2021|70.494
14/12/2021|71.749
17/12/2021|71.625
18/12/2021|71.848
19/12/2021|71.85
20/12/2021|72.06
21/12/2021|72.82
24/12/2021|72.82
25/12/2021|72.82
26/12/2021|72.82
27/12/2021|73.32
28/12/2021|73.088
31/12/2021|73.088
1/01/2022|73.088
2/01/2022|75.801
3/01/2022|75.574
4/01/2022|75.693
7/01/2022|75.786
8/01/2022|73.599
9/01/2022|72.29
10/01/2022|73.321
11/01/2022|73.109
14/01/2022|73.36
15/01/2022|72.7
16/01/2022|73.038
17/01/2022|73.724
18/01/2022|73.43
21/01/2022|74.279
22/01/2022|74.199
23/01/2022|74.328
24/01/2022|74.457
25/01/2022|75.64
28/01/2022|75.654
29/01/2022|75.5
30/01/2022|74.81
31/01/2022|74.176
1/02/2022|74.587
4/02/2022|71.949
5/02/2022|71.93
6/02/2022|71.211
7/02/2022|71.889
8/02/2022|73.797
11/02/2022|71.989
12/02/2022|71.691
13/02/2022|72.2
14/02/2022|71.614
15/02/2022|71.454
18/02/2022|71.34
19/02/2022|71.633
20/02/2022|70.695
21/02/2022|69.106
22/02/2022|68.864
25/02/2022|69.06
26/02/2022|69.725
27/02/2022|70.532
28/02/2022|70.755
1/03/2022|69.418
4/03/2022|69.613
5/03/2022|71.261
6/03/2022|71.738
7/03/2022|71.909
8/03/2022|72.41
11/03/2022|72.73
12/03/2022|72.01
13/03/2022|71.113
14/03/2022|71.038
15/03/2022|70.224
18/03/2022|70.32
19/03/2022|68.888
20/03/2022|70.147
21/03/2022|69.34
22/03/2022|69.614
25/03/2022|69.499
26/03/2022|69.968
27/03/2022|69.02
28/03/2022|67.84
29/03/2022|67.84
1/04/2022|67.84
2/04/2022|68.392
3/04/2022|68.324
4/04/2022|67.65
5/04/2022|66.3
8/04/2022|66.424
9/04/2022|65.847
10/04/2022|68.15
11/04/2022|68.885
12/04/2022|67.584
15/04/2022|66.337
16/04/2022|67.117
17/04/2022|65.16
18/04/2022|63.762
19/04/2022|64.839
22/04/2022|65.669
23/04/2022|66.776
24/04/2022|68.1
25/04/2022|68.954
26/04/2022|68.93
29/04/2022|70.151
30/04/2022|70.018
1/05/2022|70.018
2/05/2022|70.726
3/05/2022|72.209
6/05/2022|71.501
7/05/2022|71.149
8/05/2022|71.109
9/05/2022|71.118
10/05/2022|71.859
13/05/2022|72.35
14/05/2022|72.939
15/05/2022|71.799
16/05/2022|71.469
17/05/2022|71.861
20/05/2022|73.965
21/05/2022|73.57
22/05/2022|73.001
23/05/2022|71.4
24/05/2022|70.954
27/05/2022|71.979
28/05/2022|72.44
29/05/2022|72.44
30/05/2022|73.24
31/05/2022|73.638
3/06/2022|73.271
4/06/2022|73.21
5/06/2022|72.21
6/06/2022|71.118
7/06/2022|72
10/06/2022|72.391
11/06/2022|71.059
12/06/2022|70.228
13/06/2022|69.367
14/06/2022|70
17/06/2022|70.501
18/06/2022|69.932
19/06/2022|69.827
20/06/2022|66.583
21/06/2022|64.9
24/06/2022|64.25
25/06/2022|66.09
26/06/2022|67.103
27/06/2022|67.46
28/06/2022|67.263
1/07/2022|67.363
2/07/2022|66.35
3/07/2022|66.312
4/07/2022|67.784
5/07/2022|66.362
8/07/2022|67.766
9/07/2022|69.226
10/07/2022|69
11/07/2022|69.913
12/07/2022|70.5
15/07/2022|70.958
16/07/2022|70.862
17/07/2022|71.112
18/07/2022|71.809
19/07/2022|72.025
22/07/2022|71.991
23/07/2022|72.47
24/07/2022|73.681
25/07/2022|74.342
26/07/2022|74.068
29/07/2022|73.958
30/07/2022|74.242
31/07/2022|73.559
1/08/2022|72.78
2/08/2022|72.58
5/08/2022|72.029
6/08/2022|71.271
7/08/2022|70.808
8/08/2022|71.769
9/08/2022|72.33
12/08/2022|73.091
13/08/2022|74.2
14/08/2022|74.218
15/08/2022|74.252
16/08/2022|75.286
19/08/2022|75.123
20/08/2022|73.798
21/08/2022|73.711
22/08/2022|75.007
23/08/2022|75.306
26/08/2022|75.177
27/08/2022|72.71
28/08/2022|71.889
29/08/2022|72.41
30/08/2022|71.281
2/09/2022|72.85
3/09/2022|71.969
4/09/2022|72.58
5/09/2022|77
6/09/2022|77.476
9/09/2022|78.227
10/09/2022|79.308
11/09/2022|80
12/09/2022|79.689
13/09/2022|79.711
16/09/2022|80.41
17/09/2022|80.249
18/09/2022|79.941
19/09/2022|81.339
20/09/2022|80.47
23/09/2022|80.26
24/09/2022|81.021
25/09/2022|80.38
26/09/2022|79.671
27/09/2022|80.28
30/09/2022|79.599
1/10/2022|80.99
2/10/2022|79.341
3/10/2022|79.559
4/10/2022|79.679
7/10/2022|79.268
8/10/2022|78.383
9/10/2022|78.852
10/10/2022|80.69
11/10/2022|80.94
14/10/2022|80.88
15/10/2022|82.977
16/10/2022|82.442
17/10/2022|81.918
18/10/2022|82.132
21/10/2022|82.141
22/10/2022|81.9
23/10/2022|82.102
24/10/2022|83.554
25/10/2022|83.596
28/10/2022|82.613
29/10/2022|82.188
30/10/2022|82.388
31/10/2022|83.68
1/11/2022|83.003
4/11/2022|84.051
5/11/2022|81.551
6/11/2022|82.342
